"geneName","mgiSymbol","lib7418_HMMF2ADXX","lib7419_HMMF2ADXX","lib7420_HMMF2ADXX","lib7421_HMMF2ADXX","lib7422_HMMF2ADXX","lib7423_HMMF2ADXX","lib7424_HMMF2ADXX","lib7425_HMMF2ADXX","lib7426_HMMF2ADXX","lib7427_HMMF2ADXX","lib7428_HMMF2ADXX","lib7429_HMMF2ADXX","lib7430_HMMF2ADXX","lib7431_HMMF2ADXX","lib7432_HMMF2ADXX","lib7433_HMMF2ADXX"
"ENSMUSG00000000001","Gnai3",1103,1255,1569,1359,787,1687,1753,1588,1157,908,1489,1337,1386,1653,1734,1461
"ENSMUSG00000000003","Pbsn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028","Cdc45",92,426,575,382,377,829,717,638,419,141,704,557,426,634,656,676
"ENSMUSG00000000031","H19",0,36,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000037","Scml2",279,151,273,219,98,232,300,203,134,324,189,88,145,205,225,212
"ENSMUSG00000000049","Apoh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000056","Narf",226,439,449,626,313,418,413,567,438,538,449,552,525,216,543,480
"ENSMUSG00000000058","Cav2",16,427,415,235,157,239,470,422,185,518,463,414,420,533,285,388
"ENSMUSG00000000078","Klf6",371,970,1108,829,696,1173,872,829,1149,1215,1507,1217,982,1153,1109,839
"ENSMUSG00000000085","Scmh1",330,1045,667,767,331,561,809,822,433,486,584,519,535,592,461,640
"ENSMUSG00000000088","Cox5a",69,191,216,195,250,274,235,212,210,159,230,213,227,270,279,255
"ENSMUSG00000000093","Tbx2",0,0,3,0,0,0,0,0,0,0,0,22,0,0,0,14
"ENSMUSG00000000094","Tbx4",0,1,0,0,2,54,0,0,0,0,38,0,27,0,1,0
"ENSMUSG00000000103","Zfy2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120","Ngfr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000125","Wnt3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000126","Wnt9a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000127","Fer",116,197,269,423,244,359,144,298,272,255,211,259,132,122,235,326
"ENSMUSG00000000131","Xpo6",309,806,1149,901,696,1115,1300,1194,797,546,1146,1063,1201,1632,1455,1255
"ENSMUSG00000000134","Tfe3",8,150,299,171,249,246,458,235,309,31,209,269,261,297,508,283
"ENSMUSG00000000142","Axin2",0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"ENSMUSG00000000148","Brat1",61,274,388,222,291,188,109,382,184,35,126,354,77,193,332,249
"ENSMUSG00000000149","Gna12",63,349,653,378,300,744,688,626,173,173,448,644,571,1006,892,653
"ENSMUSG00000000154","Slc22a18",2,103,89,186,194,133,133,158,45,89,200,173,231,265,266,423
"ENSMUSG00000000157","Itgb2l",0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000159","Igsf5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000167","Pih1d2",1,23,8,32,48,3,85,44,1,1,12,1,27,4,105,15
"ENSMUSG00000000168","Dlat",302,397,442,563,525,546,444,525,485,461,346,696,594,613,535,631
"ENSMUSG00000000171","Sdhd",574,1043,1075,940,819,1302,1296,1018,900,961,1111,1073,1134,1253,1358,1081
"ENSMUSG00000000182","Fgf23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000183","Fgf6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000184","Ccnd2",1844,3472,3043,2886,2367,2647,2634,2313,2396,2984,2205,2180,2214,2058,2064,2207
"ENSMUSG00000000194","Gpr107",67,132,428,131,119,188,205,220,108,194,264,224,230,94,194,343
"ENSMUSG00000000197","Nalcn",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000202","Btbd17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000204","Slfn4",0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0
